base_unit_cost,competitor_price_ratio,historical_demand_index,promotional_lift_pct,inventory_coverage_days,macro_seasonality_factor,optimal_target_price
52.451,1.078,549.517,0.0,54,1.11,92.17
42.926,1.114,377.898,0.221,17,0.96,13.93
54.715,1.083,445.148,0.135,19,0.75,60.17
67.845,1.242,575.641,0.09,53,1.061,77.6
41.488,0.907,578.217,0.189,47,1.11,53.74
41.488,0.948,700.545,0.242,60,1.145,66.63
68.688,0.934,487.662,0.0,30,1.07,82.67
56.512,1.175,545.968,0.155,24,0.946,36.62
37.958,1.185,434.339,0.006,23,1.199,27.08
53.138,1.118,527.298,0.16,44,1.013,53.15
38.049,1.228,565.923,0.13,19,0.907,39.11
38.014,0.873,485.254,0.171,7,0.964,16.94
48.629,1.3,229.437,0.08,20,0.651,45.87
16.301,1.278,549.721,0.0,19,0.964,39.25
19.126,1.16,554.684,0.084,6,1.138,9.22
36.566,1.317,397.974,0.153,56,1.068,50.13
29.808,0.802,307.342,0.201,9,1.304,-26.88
49.714,0.971,721.382,0.026,27,0.947,86.09
31.38,0.94,573.717,0.202,39,1.097,42.11
23.815,1.158,465.638,0.068,42,1.159,44.34
66.985,0.892,329.445,0.149,42,1.469,13.31
41.613,1.164,376.728,0.079,45,1.029,57.71
46.013,1.256,695.389,0.135,11,0.791,54.35
23.629,1.154,520.649,0.191,21,1.17,-0.42
36.834,1.093,417.412,0.022,53,1.373,45.54
46.664,0.902,576.453,0.066,11,0.935,56.93
27.735,0.923,377.84,0.135,25,1.168,11.21
50.635,1.237,725.126,0.312,33,1.246,1.27
35.99,1.167,702.92,0.051,34,1.203,54.73
40.625,1.044,430.014,0.283,54,1.025,42.23
35.974,0.987,405.699,0.28,33,0.86,28.84
72.784,0.746,107.28,0.112,19,0.984,26.61
44.798,0.889,277.763,0.096,50,1.092,54.0
29.134,1.337,299.08,0.065,41,1.182,19.5
57.338,0.858,520.279,0.115,60,1.067,92.48
26.687,1.078,451.065,0.007,24,0.924,53.6
48.133,1.201,298.2,0.114,37,1.111,25.82
15.605,0.862,457.825,0.24,32,1.172,8.6
25.077,1.078,575.801,0.071,55,1.076,72.55
47.953,1.191,579.176,0.101,53,0.833,97.46
56.077,1.052,215.049,0.0,42,0.964,65.0
47.571,1.48,480.76,0.15,39,1.19,18.73
43.265,0.8,292.499,0.141,28,0.723,57.01
40.483,1.209,635.259,0.125,60,0.581,120.66
22.822,1.024,617.622,0.103,8,1.302,4.93
34.202,1.166,365.296,0.097,36,1.102,41.15
38.09,1.116,385.093,0.16,58,1.121,42.76
60.857,0.94,430.81,0.118,34,0.785,75.88
50.154,1.084,162.081,0.145,27,1.148,3.19
18.554,0.771,550.395,0.137,53,1.055,73.02
49.861,1.14,459.073,0.21,15,0.683,43.04
39.224,1.095,645.526,0.174,40,1.285,29.26
34.846,1.146,335.239,0.135,40,1.032,36.1
54.175,1.209,407.132,0.241,4,0.921,-7.06
60.465,1.105,274.021,0.154,60,0.924,73.32
58.969,1.072,349.356,0.224,58,0.597,89.55
32.412,0.918,322.703,0.169,7,1.119,-9.56
40.362,0.943,649.396,0.0,13,1.052,61.72
49.969,1.228,395.261,0.224,13,0.961,-2.13
59.633,1.265,518.626,0.131,26,1.256,15.15
37.812,1.014,442.885,0.116,16,0.723,47.5
42.215,1.057,309.58,0.143,47,0.881,55.98
28.405,0.914,474.755,0.092,32,0.83,71.7
27.057,1.226,589.865,0.138,42,0.944,55.89
57.188,1.15,318.836,0.073,49,1.013,60.44
65.344,1.341,621.367,0.222,46,1.086,46.31
43.92,0.918,372.542,0.111,37,0.931,57.79
60.053,0.993,427.552,0.089,23,0.825,65.35
50.425,1.085,579.602,0.046,57,1.337,67.37
35.323,1.147,400.485,0.142,7,1.482,-38.48
50.421,1.018,505.636,0.135,40,1.029,62.24
68.071,0.919,452.796,0.151,4,0.849,36.26
44.463,1.182,519.405,0.038,42,1.295,49.97
68.47,1.158,142.889,0.0,39,0.711,83.4
10.0,0.913,225.548,0.17,56,0.933,50.15
57.329,1.253,592.395,0.239,51,0.861,72.09
46.306,1.226,655.577,0.038,60,0.768,123.72
40.515,1.07,363.427,0.247,36,0.944,25.8
46.376,1.062,463.396,0.143,13,0.827,39.16
15.186,1.133,544.208,0.119,38,1.003,53.62
41.705,0.921,603.983,0.088,13,1.005,47.56
50.357,1.055,195.848,0.009,11,0.876,41.18
67.168,0.727,367.094,0.199,8,0.926,29.57
37.226,1.181,450.113,0.058,58,0.954,85.87
32.873,0.816,605.471,0.058,36,1.162,61.35
37.474,1.276,874.765,0.199,60,0.97,88.99
58.731,1.0,465.799,0.0,49,1.165,78.23
49.931,1.018,288.953,0.0,39,1.117,57.04
37.054,0.956,560.34,0.119,34,1.114,51.2
52.699,1.007,698.149,0.143,14,1.278,19.86
46.456,1.263,516.202,0.159,47,0.776,75.54
59.53,0.677,364.003,0.096,34,0.905,76.97
34.469,1.242,643.699,0.322,19,1.353,-32.98
40.085,1.101,599.532,0.102,6,0.949,38.66
39.118,0.869,346.088,0.102,44,0.5,100.69
23.047,0.889,557.214,0.056,35,0.959,78.8
49.442,1.301,649.59,0.13,45,1.027,63.59
48.916,0.908,677.284,0.169,50,0.5,133.01
45.077,0.877,490.033,0.216,45,1.267,32.67
41.481,1.221,446.288,0.001,11,0.857,48.89
23.769,1.101,684.091,0.1,36,1.066,60.76
38.69,0.909,318.476,0.156,41,0.955,52.5
39.859,1.082,565.787,0.167,53,0.742,92.01
32.966,0.896,294.496,0.121,32,0.786,61.59
42.581,1.215,659.806,0.163,52,0.813,84.72
51.061,1.209,461.293,0.055,22,1.217,22.23
73.293,1.13,690.287,0.245,41,0.97,64.46
47.619,1.104,573.712,0.199,25,0.896,46.71
48.863,1.314,316.517,0.012,43,0.813,76.65
43.883,1.05,713.694,0.034,46,1.239,73.44
16.218,0.873,732.687,0.036,37,1.293,63.72
44.602,1.117,632.343,0.174,25,1.237,16.68
45.903,1.363,385.762,0.017,56,1.098,71.43
81.949,0.898,454.098,0.094,60,1.058,93.88
42.115,0.996,521.814,0.156,50,0.757,85.54
49.523,1.112,394.443,0.115,41,0.951,52.97
44.479,1.042,753.852,0.141,25,0.863,71.29
27.47,0.903,521.649,0.035,60,0.635,134.17
62.142,1.218,94.498,0.168,39,1.211,5.39
56.279,1.398,550.903,0.071,59,0.861,91.71
56.865,1.079,447.776,0.094,25,1.239,23.1
31.359,0.914,488.761,0.139,41,1.176,39.1
66.042,0.818,444.707,0.128,30,1.111,45.88
23.972,1.089,621.057,0.122,21,1.123,34.38
53.803,1.216,667.953,0.06,51,0.877,98.07
77.857,1.121,542.458,0.096,50,1.372,51.99
30.142,1.05,449.103,0.12,32,1.009,43.59
36.506,0.962,493.799,0.01,23,1.06,53.93
46.495,0.886,502.94,0.083,26,0.87,71.06
37.448,1.175,379.635,0.151,23,0.814,32.28
21.74,1.187,586.839,0.018,28,1.095,55.03
46.028,0.818,569.006,0.213,53,1.044,76.96
29.065,1.288,731.066,0.222,59,0.842,83.14
52.104,1.136,688.302,0.02,52,0.712,137.86
31.209,1.26,397.149,0.229,53,0.746,58.96
68.249,0.849,623.045,0.109,38,1.239,62.26
33.251,0.845,357.357,0.153,28,0.877,51.55
40.169,1.028,604.39,0.08,35,0.932,72.97
57.203,1.125,422.508,0.194,38,1.29,8.07
26.537,1.319,346.512,0.152,6,0.776,3.35
48.412,1.156,542.007,0.055,11,0.855,57.76
64.607,1.014,98.815,0.027,10,0.846,29.65
20.888,0.896,237.354,0.003,4,1.324,-12.31
47.77,1.235,473.376,0.135,31,1.399,-2.37
48.898,0.905,512.366,0.166,25,1.15,32.38
56.727,1.294,444.602,0.172,8,1.157,-13.66
26.446,1.007,263.085,0.111,57,0.884,69.01
25.193,1.289,377.316,0.027,45,1.389,22.19
52.829,1.152,558.681,0.065,38,1.054,60.37
49.455,1.029,587.267,0.212,48,1.171,46.02
48.757,0.972,497.567,0.081,23,0.979,57.68
50.197,0.999,673.525,0.131,24,0.946,62.68
34.8,1.114,559.61,0.034,11,1.333,9.88
48.484,1.062,387.882,0.147,36,1.108,33.63
49.396,0.961,457.925,0.083,59,1.29,61.35
34.285,1.025,289.57,0.204,28,1.051,16.89
72.987,1.062,483.779,0.182,3,0.83,25.58
52.107,0.731,666.815,0.08,38,0.883,103.12
27.13,1.119,602.794,0.11,46,1.021,67.22
54.848,0.903,710.301,0.076,7,0.875,68.74
30.38,0.877,454.567,0.006,43,0.779,106.32
56.806,0.797,701.915,0.051,24,1.24,59.27
62.379,0.781,471.004,0.136,6,0.891,42.55
32.69,0.847,720.738,0.146,50,1.028,87.29
59.451,0.944,496.721,0.132,4,1.059,11.02
51.192,1.343,606.085,0.096,18,0.882,41.69
57.331,0.971,721.267,0.195,18,1.29,16.41
73.452,1.077,470.986,0.125,55,0.777,99.05
41.319,1.11,532.758,0.176,58,1.052,61.38
33.694,1.07,693.33,0.0,58,1.049,109.39
31.657,1.038,480.05,0.0,24,0.989,58.0
32.763,0.871,301.866,0.143,45,0.741,74.16
43.843,1.268,821.451,0.006,3,1.174,30.96
50.117,1.321,429.535,0.103,17,1.149,7.49
49.15,0.798,523.813,0.096,26,0.865,64.18
57.408,0.896,673.401,0.247,6,1.141,8.76
45.195,1.008,408.726,0.152,20,1.075,19.85
66.803,0.905,348.82,0.133,19,0.744,58.3
41.03,1.126,538.061,0.187,9,0.829,22.27
85.803,0.941,231.039,0.149,52,1.228,43.45
54.385,1.375,456.814,0.083,47,1.062,50.76
32.143,1.229,536.756,0.206,54,0.887,61.47
28.937,1.082,459.507,0.031,54,0.828,100.62
